timestamp,step,mid_price,best_bid,best_ask,spread_bps,inventory,pnl,orders
2026-01-06T13:34:11.651124,1,93320.11499999999,93320.11,93320.12,0.0010715803334320057,0.0,0.0,"[{'side': 'BUY', 'price': 93677.09, 'quantity': 0.001}, {'side': 'SELL', 'price': 93786.72, 'quantity': 0.001}]"
2026-01-06T13:34:23.553960,2,93310.505,93310.5,93310.51,0.0010716906949288624,0.001,93.31050499999947,"[{'side': 'BUY', 'price': 93678.27, 'quantity': 0.001}, {'side': 'SELL', 'price': 93777.06, 'quantity': 0.001}]"
2026-01-06T13:34:35.153594,3,93310.505,93310.5,93310.51,0.0010716906949288624,0.002,186.62101000000075,"[{'side': 'BUY', 'price': 93560.33, 'quantity': 0.001}, {'side': 'SELL', 'price': 93777.06, 'quantity': 0.001}]"
2026-01-06T13:34:46.978163,4,93306.505,93306.5,93306.51,0.0010717366377361696,0.003,279.9195149999996,"[{'side': 'BUY', 'price': 93346.3, 'quantity': 0.001}, {'side': 'SELL', 'price': 93773.04, 'quantity': 0.001}]"
2026-01-06T13:34:59.098726,5,93340.005,93340.0,93340.01,0.001071351988331403,0.004,373.3600200000001,"[{'side': 'BUY', 'price': 93146.34, 'quantity': 0.001}, {'side': 'SELL', 'price': 93806.7, 'quantity': 0.001}]"
2026-01-06T13:35:11.248206,6,93340.005,93340.0,93340.01,0.001071351988331403,0.004,373.3600200000001,"[{'side': 'BUY', 'price': 93033.28, 'quantity': 0.001}, {'side': 'SELL', 'price': 93806.7, 'quantity': 0.001}]"
2026-01-06T13:35:23.293067,7,93346.42499999999,93346.42,93346.43,0.0010712783049550438,0.004,373.3857000000007,"[{'side': 'BUY', 'price': 93039.65, 'quantity': 0.001}, {'side': 'SELL', 'price': 93813.16, 'quantity': 0.001}]"
2026-01-06T13:35:34.928406,8,93346.42499999999,93346.42,93346.43,0.0010712783049550438,0.004,373.3857000000007,"[{'side': 'BUY', 'price': 93039.63, 'quantity': 0.001}, {'side': 'SELL', 'price': 93813.16, 'quantity': 0.001}]"
2026-01-06T13:35:46.984981,9,93346.42499999999,93346.42,93346.43,0.0010712783049550438,0.004,373.3857000000007,"[{'side': 'BUY', 'price': 93039.63, 'quantity': 0.001}, {'side': 'SELL', 'price': 93813.16, 'quantity': 0.001}]"
2026-01-06T13:35:58.760762,10,93346.42499999999,93346.42,93346.43,0.0010712783049550438,0.004,373.3857000000007,"[{'side': 'BUY', 'price': 93039.62, 'quantity': 0.001}, {'side': 'SELL', 'price': 93813.16, 'quantity': 0.001}]"
2026-01-06T13:36:10.536446,11,93346.42499999999,93346.42,93346.43,0.0010712783049550438,0.004,373.3857000000007,"[{'side': 'BUY', 'price': 93039.61, 'quantity': 0.001}, {'side': 'SELL', 'price': 93813.16, 'quantity': 0.001}]"
