Agent,Mean PnL,Std PnL,Sharpe,Win Rate,Max PnL,Min PnL,Avg Inventory,Speed (eps/s)
PPO Agent,-86.71310655204205,23.54653046585052,-3.682627595397728,0.0,-14.252542587267499,-137.9647366110379,0.02388646000000002,0.4848108314914872
SAC Agent,-39.58140438143697,120.27111406838782,-0.32910150004787464,0.38,214.2728730028466,-376.0511889048794,0.12534846000000008,0.8250261915519842
AS Baseline,-41.378624917542254,15.631547685706954,-2.6471225436144854,0.01,15.420894545191459,-88.20711075740792,0.01583135000000001,6.085532591903961
